ticker,predicted_return,weight
FISV,0.23231134,0.02
TTD,0.22998361,0.02
SMCI,0.11684025,0.02
IT,0.110898666,0.02
COIN,0.10037178,0.02
HOOD,0.100050494,0.02
APP,0.08581649,0.02
MU,0.08527685,0.02
CSGP,0.08035772,0.02
GLW,0.07690673,0.02
WDC,0.076674394,0.02
STX,0.07662812,0.02
AXON,0.07632325,0.02
TER,0.076056205,0.02
CIEN,0.073781535,0.02
VRT,0.07372217,0.02
ORCL,0.0734627,0.02
GDDY,0.073014095,0.02
UNH,0.07280379,0.02
PSKY,0.072426185,0.02
AMD,0.072315015,0.02
WDAY,0.07184685,0.02
FDS,0.07112142,0.02
LULU,0.0710338,0.02
CVNA,0.070053816,0.02
EL,0.06991026,0.02
MRNA,0.069620594,0.02
INTC,0.06877892,0.02
FICO,0.06828467,0.02
BAX,0.06754975,0.02
DDOG,0.06699205,0.02
NCLH,0.065569796,0.02
NOW,0.06336073,0.02
CPRT,0.063066535,0.02
CHTR,0.06248561,0.02
CNC,0.062474947,0.02
DELL,0.05818038,0.02
EPAM,0.057809506,0.02
KLAC,0.057736035,0.02
BRO,0.057475213,0.02
ARE,0.057413157,0.02
ANET,0.056038577,0.02
AMAT,0.05597653,0.02
FIX,0.055072654,0.02
LRCX,0.054965522,0.02
BLDR,0.054502998,0.02
COHR,0.054133203,0.02
VST,0.053493824,0.02
ARES,0.05310658,0.02
UAL,0.052814174,0.02
